Pyroglutamic Acid,HMDB00267,C01879,991019,1238216,2473330,612368,716925,1022260,698887,756074,4372224,678202,1882486,812080,2310179,2283721,930788,983229,1105024,2976256,728296,1412289,984341,705110,1572053,656731,715791,903644,883618,818348,1075006,576223,1113711,780705,624343,888668,1608160,949491,874190,4970418,712415,718429,1211655,544867,667533,1319077,1724989,708985,1040232,799173,1896750,722918,1583732,791972,880608,636638,498119,1040665,656165,813723,595157,840367,741537,828596,713622,770885,660042,725052,2661822,937303,748626,1895798,1130925,1218424,2976445,629659,783944,711355,689438
Pipecolate,HMDB00070,C00408,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agmatine,HMDB01432,C00179,79226,58198,141754,50946,107581,119674,81933,65047,127255,58175,112049,87828,112156,95652,97002,83835,51108,145999,81603,95792,112195,98330,87386,86495,66295,71024,96006,108771,82831,61906,64678,60377,68022,76286,111958,77261,77959,152183,74091,56554,80200,54791,91521,67671,101424,82321,65811,41454,67718,60324,66235,62378,60533,57870,68054,67027,58786,47426,93192,61018,121829,67883,111377,88330,107328,80618,110419,78409,64740,104361,85722,67756,86318,71306,90277,55116,47042
N-Acetylputrescine,HMDB02064,C02714,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Creatine,HMDB00064,C00300,2765729,13984863,6598507,2910538,47381969,5512512,27973546,2654166,4280705,1735369,25155764,5117847,6006368,11218751,4955072,12871687,4853789,5578705,19407326,5278640,8010291,4005565,6562133,5256314,20980737,15637659,18507380,14538866,4240619,5688571,3476216,7092365,18406146,2397117,18419517,3214437,4526153,15314571,9186118,2270988,2208920,6279589,5636173,2315763,4904728,20581391,6390936,1605859,3524522,2706550,9437377,3876769,8471218,7021086,7851435,8486545,14043736,4051052,4235256,2570477,15315885,3637697,25703588,10342702,6534343,21128234,19298240,1924527,2555774,11357433,23757010,19251514,7791078,16090740,5175390,10379444,9376492
Hydroxyproline,HMDB00725,C01157,2560309,5776204,7688728,3250086,1875345,2416475,3123689,2045376,4341770,4811761,3347407,3106905,12855669,2650620,4402919,4272670,4217427,4093199,3430341,12069180,10083305,1553604,2001966,4655041,1833757,1807259,2713943,3971612,4132546,7077669,2826706,1284750,1730005,3101586,5658500,6137293,8692032,1841623,1569148,1777879,2741452,2717626,12190348,4441183,4338731,1626607,1960456,2798430,4256424,2170173,2208813,3041978,4263522,5313546,2681525,2150234,4247322,1549332,2756644,6610042,9007496,2989602,2402497,3013507,2304862,1802856,1733600,5590734,2346891,2366170,2059749,1460725,4644889,4685620,3815477,3071948,4735424
Aminolevulinate,HMDB01149,C00430,149441,543964,343818,165203,1357432,235612,808923,121409,236592,181015,744401,196912,509369,339418,238810,400640,237794,233890,636537,420238,468184,129624,230585,267395,604084,448217,545362,512103,208821,343767,154252,219852,515785,136653,605030,271527,330604,502182,272218,87092,147492,256286,450186,145443,221747,574446,239726,104447,195769,109244,301718,194948,284462,262609,295608,269618,478147,162555,203883,248285,676284,172401,690057,366444,243186,566594,596548,188981,110821,335399,648811,533300,339610,555964,223485,368461,359432
Leucine /D-Norleucine,HMDB00687,C00123,15141733,17605895,24729086,7201488,19507344,16506381,9079852,18329283,19629532,10734550,17554689,16174188,17073555,16130803,11709532,23288497,12762343,16102947,12138480,15200224,13176602,16817252,17147881,9079207,18776205,16317438,17858353,13370967,14796471,14096427,14606332,13018885,11024196,17203711,13316862,12621470,12284152,19271844,11474693,11972839,12509470,9476434,15142996,13050123,13564224,15970711,13254911,13190923,10763214,14608082,11042376,13226992,8505091,10722938,14026790,16945076,14903160,5116248,16510971,13585012,17727140,13471544,11314510,13688047,13450889,10418934,16841272,14757739,15549347,13979105,10266287,13726396,14995736,9558645,10253608,9854147,17002561
iso-Leucine /allo-isoLeucine,HMDB00172/HMDB00557,C00407/C21096,3453095,4159940,5944629,1771203,5409963,3638784,2185647,4132093,4894201,2833518,4275273,4006556,4604698,4509815,3161720,6063124,3063872,4186842,2890655,4163107,3388778,4193739,4446132,2439334,4793103,3421172,4162982,3471121,4301138,3676360,4219428,3229739,2577114,3632228,3681076,2515210,2662565,4907397,2748406,1988859,3090771,2401860,4112979,2435026,3923428,3966993,3008936,3091547,2522773,3259558,2701386,3055106,2168901,2799282,3696730,4263926,3614044,1251270,4075661,2969797,4276133,3131515,3046714,3200972,3041468,2772609,4726436,4103110,4350172,3311945,2846381,3398778,4110414,2132621,2364560,2349581,4044794
Ornithine,HMDB0000214,C01602,1109884,929018,3757616,719466,1718797,979010,1254833,717717,2211059,703614,1524197,1363515,2251168,1390042,1424977,1681851,1570406,1724557,1225720,2086152,1778828,1012682,1487801,1353188,1485029,2351806,1996642,1481678,1125548,1102127,1284150,958147,1135310,988689,1512555,881088,1397727,1236847,880270,704562,1146550,806604,1276328,709043,839980,1206613,1047360,1419847,753890,984173,681241,1115154,1328447,702123,614256,1538398,1113640,797919,1211539,944675,1406774,1100442,1590065,1568248,1223890,1270203,1517558,999721,919979,1136952,943895,1439589,806708,812628,825802,709163,929143
