COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(I)21,QC(I)22,QC(I)23,QC(I)24,QC(I)25,QC(I)26,QC(I)27,QC(I)28,QC(I)29,QC(I)30,QC(S)1_Batch8,QC(S)2_Batch8,QC(S)3_Batch8,QC(S)4_Batch8,QC(S)5_Batch8,QC(S)6_Batch9,QC(S)7_Batch9,QC(S)8_Batch9,QC(S)9_Batch9,QC(S)10_Batch9,QC(S)11_Batch10,QC(S)12_Batch10,QC(S)13_Batch10,QC(S)14_Batch10,QC(S)15_Batch10,QC(S)16_Batch11,QC(S)17_Batch11,QC(S)18_Batch11,QC(S)19_Batch11,QC(S)20_Batch11,QC(S)21_Batch12,QC(S)22_Batch12,QC(S)23_Batch12,QC(S)24_Batch12,QC(S)25_Batch12,QC(S)26_Batch13,QC(S)27_Batch13,QC(S)28_Batch13,QC(S)29_Batch13,QC(S)30_Batch13
CTP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DATP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phosphoadenosine Phosphosulfate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tauro-alpha/beta-Muricholic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taurocholate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GTP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UDP-Glucose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UDP-GlcNAc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oxidized Glutathione,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64979,51277,40490,35850,33940,32729,34921,30385,31068,28508,26961,27937,27961,27629,26778,27094,25479,27578,27056,26568,24459,24065,23772,24878,29555,25818,25573,23403,25372,24894
NADH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NADP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3C13-Glycine,468706,516898,496475,486183,480598,469103,500433,483705,462579,468459,456248,472719,493736,494735,480138,488857,479681,467138,503081,456076,459393,466666,497307,483005,478098,489412,449595,464457,449810,468911,489155,463374,461152,490208,465502,460140,464368,479189,483857,446944,448682,452948,421080,450638,417785,472397,452605,466576,438780,460355,471688,446639,504734,431019,475285,488214,437790,459806,473438,471457
4C13-Alanine,5312957,5193269,5396657,5153971,5165386,5254577,5228711,5060731,5313210,5001525,5046567,5087162,5131557,4993544,5052825,4813607,4985491,5028788,4988212,5008462,4932690,4919141,4794079,4681099,4870309,4893128,4926547,4867416,4869008,4700582,5212427,5143412,5096578,4942993,5055241,5031118,5181420,5217275,4910329,4895804,4925461,4928062,4856735,4806797,4724026,4835529,4842547,4975673,4939853,4849446,4860312,4816883,4920284,4705804,4859848,4741798,4692951,4671678,4805791,4782967
2C13-Choline,49811058,48799660,48184552,48883588,48828203,48985633,48186995,48149942,48270050,47583883,47128831,47326278,47379978,47576664,47725754,47226185,48448098,47447953,47730594,46769805,46335026,46738227,46743642,46343855,46476806,46326845,46781445,46853070,47611211,47571779,76803904,74094009,72535228,73167454,71697674,71341537,71436542,71386400,71248067,70257246,69916247,70283028,70551154,70429990,69987329,69082543,72337274,70430096,70599391,69750185,68580217,69048965,68881050,68669510,69276782,69130841,68415540,69186651,69250176,70724215
4C13-Serine,4453565,4337744,4235963,4367270,4550563,4347488,4440037,4315749,4401019,4408128,4308409,4466128,4367027,4124137,4245347,4180154,4570843,4375735,4286727,4590827,4186746,4154388,4285875,4014466,4272866,4207209,4222595,4148293,4238288,4156611,3945842,3992974,3852921,3970208,3964318,3917431,3897017,3913576,3883076,3753552,3838225,3883516,3781687,3815819,3791331,3682519,3913856,3923477,3891087,3797657,3858145,3836597,3897101,3662789,3758021,3815013,3665585,3575895,3702639,3826218
d3-Creatinine,53803771,51265547,49587593,49459692,49608543,49464777,48435105,47108466,46537078,44787981,44654394,45248972,44296056,42944993,42878928,42858993,43487275,42760435,42243120,40749697,39680187,40014678,39308003,39487574,39082031,39112686,38239366,38373166,38605192,38188946,49861958,46184774,44780092,45274196,44735148,43900880,43027857,42331867,42265803,40867150,40262261,40049547,39819106,39124567,38756650,38723926,39559368,38812884,38063840,37200454,36795462,36388507,36920819,36387264,36249126,36373734,35672928,35967137,35514960,34712943
6C13-Proline,5371981,5039240,5065999,4980482,4879615,5125345,5022564,4764474,4692151,4881440,4714172,4691822,4676382,4715205,4605545,4653679,4745109,4756704,4831525,4806789,4968118,4776001,4778844,4969220,4882714,4753110,4740815,4738774,4812117,4605788,5010006,4554169,4583320,4579777,4682014,4442022,4656909,4512157,4547521,4631761,4498370,4464129,4451271,4292432,4308742,4349863,4338073,4427042,4493798,4435128,4530234,4543527,4582022,4516806,4330130,4633766,4563822,4643857,4524782,4446058
6C13-Valine,8094198,7374229,7062312,7096990,7235371,7101775,6877576,6883790,6830751,6666069,6668871,6335136,6713348,6565357,6459527,6496143,6377665,6398649,6439688,6332218,6188405,6197166,6015308,6047412,6060748,6198015,5880053,6273194,5958252,5776927,7623484,6996710,6760072,6485060,6462733,6716980,6380143,6395294,6207826,6208542,6114231,6144217,6063679,5946553,6013673,5888736,5929538,6079327,5944737,5684725,5707650,5632619,5501561,5513632,5639111,5606677,5484102,5416821,5422561,5350680
5C13-Threonine,4796392,4874468,4708474,4766686,4884336,4761386,5001350,4772299,4726425,4556769,4655390,4662282,4610562,4460191,4593784,4505192,4605003,4689178,4630936,4693582,4570356,4460490,4422032,4449942,4490421,4532757,4488108,4375923,4473691,4374309,4502607,4287585,4438254,4494636,4484732,4373499,4338237,4263721,4177460,4213015,4275859,4272116,4146022,4179419,4251807,4204372,4364803,4377364,4379991,4233269,4277521,4097555,4313310,4165830,4089483,4150692,4125357,4158872,4228830,4112244
5C13-Aspartic Acid,5872495,6275385,6197916,6149401,6420853,6349365,5968517,6282050,6321698,5774094,5660188,6049459,5339001,6119312,5425450,5638343,6057008,6444179,6141766,5576832,5552972,5696996,5851619,5472634,5609656,5378581,5375604,5601390,5528210,5313002,5680133,5408131,5638058,5153295,5327635,5414149,5337702,5533474,5677255,5148255,5262609,5199316,5545566,4848434,5001419,5210249,5306000,5301553,5167072,4875910,4987429,5487384,4648059,5022963,4871319,4875363,4896043,4897940,4894864,4978406
6C13-Asparagine,5710549,6217623,5922363,5943232,5936036,6028810,5903630,5930833,5846917,5742125,5855565,5896890,5835608,5780294,5753643,5760395,5835572,5871201,5779103,5611665,5684525,5618654,5717542,5755167,5582676,5629578,5720540,5755886,5446146,5828685,5304323,5104965,5300413,5243878,5407604,5378851,5438140,5213353,5260126,5444274,5321699,5238235,4966589,4945707,5087168,4938724,5351579,5187018,5231364,5135661,4899277,4939980,5242484,5127548,5124149,5481394,5261259,5230400,5098160,4988328
7C13-Leucine,73669516,69592942,67425576,67196533,69195948,70085831,69771118,68633995,67351834,66450730,67059085,66565962,65169861,64464160,65170191,64016085,65603149,65510599,64571765,62829105,63767681,63842849,62599731,62664731,62708532,61030945,61801583,61437226,61324031,59376726,69856638,67195855,65385327,64905741,65229332,64930485,65415410,64868131,63491249,61614376,64286834,63704214,62101408,61334562,62513683,60001918,62850697,63442304,61496386,59745225,59967309,60241421,60173239,58839784,59776232,58469442,59004126,58469390,57946522,57269621
7C13-iso-Leucine,8049711,7895388,7825607,7820271,8419986,7784464,7863948,8131355,7554215,7653346,7645078,7846172,7441984,7287291,7462145,7330126,7344411,7327311,7456105,6959045,7175267,7224808,7326162,7283386,6918449,7151159,6910070,7191266,7115986,6694448,7362521,6857075,7176674,6891075,7006060,6962859,7140101,7173854,6665057,6563621,6872477,6922601,6945354,6359272,6624684,6470919,6904885,6876544,6513246,6373450,6361649,6507614,6675529,6726503,6579490,6842501,6287997,6420283,6264917,6186101
2C13-Glutamic acid,24638490,26770037,25227325,25400609,25922039,24494217,25382929,24624684,24531283,24363002,24101164,24281351,24171157,23155768,23468035,24103845,23513542,23734528,23381763,23180444,23172875,23244183,22854351,23048019,22626894,24263395,23277967,23321867,22722947,22430737,26522304,27604434,26705985,27536618,25834882,26206151,25984576,25886747,24947708,25642850,24226532,25413201,25719526,24396548,24756398,24558523,26238580,26045871,25280483,24827849,24220033,23916084,24623551,24832972,25183806,24685524,24685978,24708843,24123901,24588329
7C13-Glutamine,18230956,17730552,17253385,17002495,17005301,17184172,17200604,17069968,16575943,16066481,17218634,16104322,16718625,15696511,15804449,15446828,16320532,15967282,15678177,15635654,15654105,15341242,15583662,15365783,15253392,15163716,15574919,15673589,15402521,14846153,16561330,15661876,15681135,15670753,15693657,15435545,15398215,14992835,14329859,14528972,15221706,14495815,14742059,14245324,14205347,13765474,14169017,14719837,14418427,13801507,14157389,13975528,13833763,13649427,14652449,13739187,13712412,13702879,13559036,13339514
6C13-Glutamic acid,20115268,19962478,20189021,20055788,19918458,20061402,20061012,19575013,19693173,18473757,18947865,18910692,19046943,18627011,18517303,18065252,18720485,18538132,18538608,17818665,18295049,18622848,18287083,18306332,18042065,18594615,18259224,17945671,18358061,18040016,19114744,19741397,19179178,20014102,19622365,19300180,18921236,18660109,18003865,18755009,18413133,18170604,18797841,18137575,18466332,17500201,19167756,18610712,19243873,18023383,17230384,17674008,18447094,17826358,19134418,18035163,17901025,17882223,17893082,18759662
8C13-Lysine,30042203,36719465,36706416,36421767,35930254,36400995,37380786,35239760,34419775,34354555,34884928,35881718,34973298,34211316,33952768,34137606,34100247,34384856,34790359,33828507,33043759,34527987,33616043,33590677,35116680,33051130,34489335,33671775,34518836,33930943,29306287,33645136,32205754,32007979,32586417,33232703,31416580,31549028,32239892,29648404,29996816,31635663,30861849,29656003,30701910,30638653,32756104,30578908,31499687,30575044,30405169,30762597,30713823,30742036,30547185,30801460,30790257,30471544,30675866,30200407
6C13-Methionine,2008694,2056383,2073465,1974003,2021378,2011885,1991539,2084562,1879222,1853652,1968599,1961054,1835034,1909331,1880644,1898509,1883419,1906230,1858010,1839098,1729055,1792411,1804414,1772936,1799221,1837816,1794661,1735893,1706409,1710079,2039149,1974114,1865682,1817359,1848642,1831686,1897235,1837098,1803757,1762490,1777733,1812880,1723771,1654890,1758990,1691148,1812950,1783757,1757522,1721286,1702431,1697822,1718501,1652699,1666680,1660413,1688916,1677372,1704423,1658809
9C13-Histidine,9372221,9601609,8728516,8036106,8846342,8715948,8755140,8315507,8156907,7822944,7861031,8151525,7631291,7264741,7373682,7161494,7149064,7089604,7356740,6073478,6321348,6563067,6730166,6749433,6914933,6622174,6636720,7068271,6197315,6791903,9726826,9010430,8710004,8374729,8364578,8483045,8241197,7789368,7845125,7566090,7718784,7774894,7476126,7025249,7159880,7090910,6967438,6938963,7064932,6612821,5989340,6596757,6519048,6630621,6776860,6683242,6709650,6907941,6277600,6551965
10C13-Phenylalanine,25579258,24157262,23333458,23205938,23697403,23103197,23354165,23092761,22305133,21880880,21763571,21828377,21523054,22113939,21356529,21402919,21731352,21500271,21742398,21152675,21540476,20872112,20560318,20124621,19948620,20190287,20185195,20089608,19812602,19618531,24247259,22888089,22032653,21866197,21504615,21312083,21095062,21214480,20563619,20557467,20756836,20427012,20287135,20021567,20337739,20043414,20318262,20722961,20043197,20124465,19532755,19299103,19287235,19066605,19306309,19005242,18924847,18896910,18988050,18527204
2C13-Tyrosine,7104207,7137672,7224199,7199072,7262385,7243612,6921408,7048467,6885558,6934021,7133856,7135341,7186319,6973222,6822467,6918696,7390774,6990752,7096384,7009477,7024708,6946921,7091903,6726223,6797103,6964231,6931343,6764555,6685089,6573240,7596219,7286470,7047642,6887557,7030302,7016830,6895407,6920958,7246021,6978359,7048100,7062109,7136267,7182382,6774545,7156012,7272918,7317278,7262406,6917548,7166673,7146071,7495677,6868431,6833631,6752588,7011239,6692736,6447206,7048650
10C13-Arginine,57126795,89727290,86099179,79447526,83669615,80856509,81068947,79224399,75290807,74843357,78581322,77863010,74732473,71678935,72753498,72691330,71897970,71850743,73803369,68669368,66868235,67837179,67342111,69720873,67492499,68372692,66191827,68069502,68996321,68650426,57454136,73296147,73316513,73432098,75271227,70174863,71627275,69234772,70712276,69083606,66541433,63268853,62663415,61653930,64076186,61167921,64597390,61844160,60827273,59164123,60420783,59569698,59438969,59966921,61215402,59177952,58946391,56892388,59035633,57882563
10C13-Tyrosine,1493653,1457534,1527369,1585383,1423108,1538842,1516715,1438073,1462216,1477255,1472687,1428365,1387880,1418088,1448073,1425026,1411594,1534848,1426626,1472564,1476031,1382774,1415347,1382179,1432990,1386922,1448493,1331190,1398534,1343970,1334645,1388767,1417890,1353824,1383362,1393447,1279014,1374929,1413133,1377872,1343633,1387717,1434272,1344746,1298046,1402664,1384723,1455234,1304352,1441684,1307348,1336689,1397310,1329298,1334285,1230710,1372219,1298280,1279899,1329222
13C13-Tryptophan,13318643,13352593,12679304,12690621,13028058,12633124,12745869,12767102,12717755,12180858,11998312,12282278,11915359,12044582,11943707,12063260,12386105,11707419,11722794,11244161,11516478,11603338,11197130,11437817,11632970,11157128,11379105,11227114,11289258,10991025,12067412,11887509,11121145,11214062,11355852,11239444,11289806,11125053,11284529,10864601,10599366,10900122,10138032,10664830,10494940,10435703,10811935,10099954,10139465,10351688,10113887,10310494,10390543,10384110,10693290,10139897,10189802,9969395,10156547,9960691
8C13-Cystine,531260,559269,573035,562686,587933,592512,597955,590126,590735,555346,539315,563588,545445,515915,571954,531723,574501,544357,527859,514147,495482,532406,546470,530566,555120,538410,540181,552173,567569,548528,370144,404800,416377,361148,401856,428776,413973,403025,405835,390731,350277,376158,404938,376521,365602,341861,387809,386836,375602,359252,354618,383344,411572,348788,390991,396987,389335,376283,379313,348409
11C13-Uridine,523592,538551,544591,522994,549343,551626,509487,531937,530965,516573,513685,513089,506380,514544,536922,518335,489658,544360,527867,502155,510148,501103,508996,497447,506467,488156,496831,483081,483171,460680,482290,489828,478616,478813,469676,489829,497975,477977,475002,492669,465964,470642,480753,475369,469404,446175,471111,475305,495038,487160,451619,479287,477650,444061,453624,441337,455973,455125,439821,429482
3C13-Lactate,20978107,21332657,21288205,22602715,23226535,23038942,23685672,23426256,23226635,23159418,23217953,23514760,23093314,23316339,23669059,23405666,23769401,23768344,23655051,23387468,23111827,23417064,23134391,23412030,23669344,23359669,23846090,24088441,23328973,23261847,21415487,22209396,22647708,23070463,24275959,24258333,24383662,24081807,24115068,23037509,24526182,24715581,24397265,23938177,24378628,24364566,24579772,24054754,24400337,23586741,24095862,24379646,24447774,23964917,24563249,24839028,24407907,24736187,24725714,24660154
4C13-3HBA,11668151,11897668,12392784,12803031,12826071,12844334,13123786,12918163,12961869,12756148,12756357,13008190,12863112,12655129,12991815,12895132,12980158,12872798,13018673,12881723,12560768,12899078,12884182,12910540,13007249,12622091,12882491,13039630,12883672,12678234,10902298,11508946,11911739,12352840,12842392,12804034,12898388,12762453,12670917,12729929,12462455,12572331,12780731,12674429,12817198,12744719,13088078,12406211,12895976,12943309,12661650,12637371,12628108,12677384,12868745,12879231,12864493,12860271,12890019,12753856
2N15-Xanthine,2398671,2351783,2409447,2483439,2539565,2494624,2533102,2472628,2404837,2378989,2416267,2464570,2400238,2355465,2397087,2331472,2334374,2476659,2417571,2358360,2278964,2283498,2369133,2443177,2457866,2424206,2388559,2430083,2501325,2490167,2597118,2638461,2632850,2821369,2850818,2882412,2954324,2822792,2831445,2786980,2812489,2815301,2773636,2722898,2756782,2776533,2755045,2778054,2768244,2747603,2679449,2751638,2894715,2882597,2845736,2848823,2882840,2926147,2963479,2934958
2N15-Urate,10897712,10373573,10302479,10463487,10358361,10224679,10230677,10137806,10257002,9737325,10285534,10276714,10061587,10091663,10115504,10190638,10389657,9950539,10178157,10046703,9958131,10088074,9781007,9692601,10083386,10183489,10347616,10257710,10162303,10920890,15013289,14141789,13973221,13511855,13391579,13672267,13550520,13205320,12711505,12920886,13116393,12945406,12648593,12510026,12760422,12716205,12724693,12768323,12286927,12639497,12815526,12603365,12681701,12809543,12699143,12109308,13011655,12270901,13093328,12577190
1C13-Citrulline,9170710,8804980,8663952,8488757,8371131,8381128,8095024,7992704,8155304,7862792,7995358,7822660,7889110,7731383,7695012,7625492,7597327,7621645,7442391,7446979,7303672,7333796,7406792,7224977,7466593,7390555,7494782,7125525,7368233,7247673,8075991,8013526,7800255,8078318,7745384,7673731,7449719,7528746,7380291,7373224,7235533,7207847,7294292,6974121,7165806,6952475,7046195,6880036,7044971,6952373,6931477,6805388,6865859,7020260,6893015,6859033,6790036,6849217,6893123,6751191
6C13-Glucose,2847945,2763536,2536204,2720694,2781764,2614176,2689701,2662841,2697433,2793466,2587830,2663578,2648784,2589064,2670612,2522260,2589460,2459251,2377627,2437701,2268270,2367092,2326563,2349321,2258001,2281930,2350580,2389417,2050411,2243891,2758345,2809523,2581300,2895177,2797634,2972052,2809281,2848114,2662258,2695972,2810190,2609338,2687121,2699246,2683109,2618413,2616334,2513624,2643376,2463233,2452452,2406996,2517153,2349536,2565584,2627378,2452841,2487958,2205326,2451399
4C13-Pentothenate,7453955,7507263,7543560,7585143,7600800,7720895,7726431,7455105,7310390,7052878,7147792,7015245,7011748,7049372,7270300,6991516,6975468,7174434,6888778,6805632,6551787,6953165,7184609,7097484,7236071,7096458,7483731,7462497,7269923,7548307,7103565,6812815,7003340,6945621,6782367,6874370,6918969,6648007,6645772,6404872,6810785,6555208,6197082,6409162,6354723,6382257,6231507,6244177,6338033,6085984,6179325,6348115,6396339,6342385,6522071,6327499,6502468,6526274,6641346,6483399
