COMPOUND,HMDB ID,KEGG ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320
Glucoronate,HMDB00127,C00191,427248,754353,854502,2201099,3729343,6080548,396082,690919,446483,913716,463128,450663,483882,281660,584007,5455062,466919,2033774,645510,568603,346941,2690184,1642788,3026384,1623380,728452,1091063,623869,609826,5466249,4430258,612285,409053,2469955,603200,455236,419680,517761,1213790,6731960,1271147,6116483,401412,5738725,813876,778227,449691,834476,2026400,750415,478152,838407,815728,9885442,3568376,730369,449327,3332177,493166,1866416,436023,482423,426861,539202,386076,609798,789989,326259,916863,1673585,435467,5500643,821438,577281,448986,315183,665776,493155,354519,818733,373396,409786,780607,898499,487554,368891,2165378,770175,341615,1097208,660150,545424,5039382,370829,440103,478931,699077,564155,526193,891118,2859347,2152803,920747,396388,7820945,1123381,975173,8579995,2626864,685457,2915710,509364,436886,1039577,582534,1486202,818516,401456,406299,569274,328897,626058,289130,365626,635363,9002514,704478,736601,529428,472631,946134,1431637,424288,5175401,543089,1441412,567758,455883,327437,7567689,3110229,419759,7462567,7569222,5751931,383048,927952,501003,2897388,9868909,246004,1970131,394666,832424,385515,826080,737787,493311,2041365,355900,115956,943977,1202311,887327,714711,418811,376475,675467,458689,1183764,364082,304775,358581,371723,472370,901420,1656191,329599,388025,250138,953002,897745,503125,616971,825814,948477,346186,1141125,787324,5023897,359348,5579535,700609,612544,1081968,2966867,2945692,1115797,6335821,2284946,368563,878919,732549,8009453,651978,487327,469585,430633,542457,400455,594452,326071,725036,1960458,565078,772219,951827,1437349,9459369,2362626,530489,690172,636989,5195002,1027701,577385,559786,590558,1253828,1112951,892722,405630,465541,365425,819351,11222590,506535,419379,814890,8210667,219034,6185953,3736559,1084156,3659941,627640,1146120,440321,784406,2970230,333259,848304,958364,2143424,505308,381885,928274,302709,337708,1004414,412066,356153,5778253,462631,384693,654687,484746,4245368,1502195,272274,1798599,1076605,505259,728041,513454,2198992,408710,574920,3445741,371517,343110,55282,93852,521179,553301,749509,1398848,304437,1049481,1121295,980915,405489,743777,67616,584985,43033,554412,760518,889498,463558,3255299,7747392,549445,637855,2996546,283847,2188979,802839,51170,381352,417296,37710,657859,426222,493512,594616,1921736,349639,64063,2142044
4-Hydroxy-3-Nitrophenylacetate,HMDB62403,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vanilmandelic Acid,HMDB00291,C05584,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Erythrose-4-Phosphate,HMDB01321,C00279,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cysteine-S-Sulfate,HMDB00731,C05824,343186,1144879,653730,1679212,732551,793465,251661,527707,517157,744945,343138,626349,343034,393456,311409,523855,268508,460326,862800,288166,631773,810289,987649,816726,572950,310132,926578,189343,547628,546972,1289531,753776,205404,891272,488015,478289,320147,280013,666375,893367,738563,2725885,858652,608550,652048,890359,460676,523671,927908,597526,402481,314010,415387,1138115,684760,424905,153355,405827,188891,592209,289905,321022,209208,485724,114065,612287,537964,136680,199171,559619,298833,552762,699301,595386,325237,200502,310950,366452,560463,365330,121022,205433,302123,117833,491862,178134,710526,842788,93806,658390,59453,502449,627394,122513,199001,175904,746279,108880,133694,1220968,520605,305412,576184,280967,895943,132584,275844,939789,679915,293144,220965,393474,302160,252521,116171,474858,212282,67847,127553,83516,125657,1010250,270975,200965,134837,339939,146704,511875,482623,563577,238167,1131387,372723,1343400,346751,421513,341894,255335,208479,402676,361236,410817,1210237,231844,809617,537323,659499,111528,460797,629749,414286,451821,135283,592200,635617,261797,194872,274119,292184,239881,328876,572459,265227,372506,155950,108298,391634,210914,503447,257727,169052,361901,189388,61207,100811,399918,659081,278783,219471,402345,155897,187465,340376,189148,236045,361173,98221,792229,66605,678155,203792,753352,148814,418921,377004,1073077,521673,130912,554713,452758,140646,343235,141585,1527782,368533,820332,188867,130496,168958,355714,144967,179007,473741,440641,1039638,552367,323197,157266,711142,382371,378057,454319,194608,548185,472745,393576,306108,369564,494942,515521,449277,383423,114224,211747,498664,843400,73789,265811,215710,1195944,163001,472018,396346,221342,451561,157749,568414,258594,509806,493846,217019,396329,248772,392356,358279,224461,544303,326821,153096,858243,358741,153962,830188,154236,276507,339120,359495,663051,378504,84996,241798,169131,254687,375176,312460,281651,145818,135926,496972,89149,145226,281826,327536,287578,163511,57895,169557,65661,189459,410469,333056,72199,77856,140516,219227,92928,95135,97899,165190,358718,25853,273248,590165,76693,151010,779290,308330,248834,1495090,59534,40199,404703,75836,46668,923334,149634,249685,39418,470151,227847
IndolePyruvate,HMDB60484,C00331,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xanthurenic Acid,HMDB00881,C02470,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indole-3-Lactate,HMDB00671,C02043,452885,1215183,662156,451088,366718,858780,1962005,618863,642706,768020,296000,585304,828401,737995,874450,547123,422087,686690,457425,449390,1119533,413092,476105,788460,385639,1127899,380530,1486489,1094136,1033251,522376,652376,572690,347855,583827,960458,713559,341480,548665,388285,121905,934440,277930,301498,1067063,394586,862074,453278,481347,928067,522443,278523,987765,1887225,240044,389173,149819,1609287,736968,863267,558195,437251,310932,1936610,139742,871566,460269,311081,1166492,553675,436056,207576,297102,494409,98911,270202,338315,807159,281257,601079,223059,642291,463126,232206,349763,574652,640158,591596,1683176,1088261,526721,484439,658836,638217,678473,850998,897786,569018,1019886,853224,622078,447044,1225910,1120494,299752,618679,686914,1549314,380622,841584,1047118,403663,826440,576187,255666,895666,922021,634867,656513,593080,508728,402101,331762,706210,248486,405383,1236067,365459,1049762,1227891,1288137,440593,332585,939871,1222515,574208,477643,202152,434340,1407592,2799711,537584,664865,462154,452410,192592,666620,380664,489317,1288896,282423,802548,1006677,395840,285286,600925,188052,873535,967351,275025,285278,52467,808777,242581,849622,708284,304333,1199667,531923,456813,1044022,798822,610453,289565,553621,443302,309539,471013,350366,544839,1479678,501481,628762,819904,650202,1596437,867856,557026,1420489,1670186,438125,673716,602678,1021406,1142569,1618108,320183,1370557,780968,1167962,585466,602414,729953,1727823,445942,1284590,2229841,362944,918161,547257,1018502,407246,2637038,1459590,1974707,471399,643037,426181,444428,954054,582198,360969,470728,875482,685747,559303,739009,295489,572661,465393,679137,168131,603954,848133,810142,381643,360175,634749,637720,1249396,603680,332885,427064,2261628,474570,669834,2359787,234334,283421,968032,304691,1543616,491781,1195279,574065,694342,303085,199398,744419,761052,490458,322465,1074214,469347,274108,571523,823271,510276,413553,705699,376604,395975,1105494,468387,324560,258176,419084,162285,1103253,369623,666612,477371,394633,517689,441468,401691,590810,1568440,1021160,576911,1104554,252923,584900,776687,1466040,305165,133066,932331,1706415,392311,1226517,952604,461859,486613,410412,491391,583970,322129,435804,722512,467680,1154599,237349,577471,244560,1549396,446760,319624,1109383,597113
N-Ac-Phenylalanine,HMDB00512,C03519,123068,242620,86041,147513,118263,154794,183153,105017,176150,138323,108810,121725,100191,133983,166502,241712,187260,200284,214382,222711,134513,134318,143429,336618,116074,116548,96076,239049,230614,137494,248066,208800,208063,118200,163163,143541,196392,112825,241827,152090,100290,110176,97961,125924,160819,186297,155417,164708,156724,273252,141166,126407,238320,176747,173787,85681,100405,228140,105431,139908,167061,145933,254788,223312,79003,263813,165743,153938,341971,129206,114401,118338,101361,95893,78492,162707,181418,226155,69371,131748,114563,139968,174139,32248,223514,126916,233949,159040,185635,213111,180045,101396,181799,119313,181206,163638,214390,120874,202232,169107,256394,164544,205767,98831,90630,131911,224408,307607,140814,185385,182608,91600,107964,172324,155817,452710,170664,157258,151370,103475,142629,129488,136447,185073,119822,132793,189040,173676,212666,252064,115751,144339,173333,189836,163299,213101,219099,120173,75521,124919,251024,176931,215654,127124,169565,120799,187032,107299,142017,299945,92879,143760,185672,134909,56552,145259,106864,96599,213069,109961,43361,48179,241107,206290,141613,85424,112633,158962,109066,186575,204896,151278,158395,133104,270371,96030,67537,122825,104533,133711,375268,129002,104021,107499,157760,174414,203617,165269,251595,186776,104340,202890,150890,194314,169953,260167,176782,214786,133166,276554,189195,182494,90873,229792,149450,192717,144861,150951,215035,145373,170299,153020,316249,397754,230945,106519,194134,175094,107908,153078,130161,237499,156612,222163,158826,184292,172900,158121,161540,127169,117168,135935,129251,122574,164765,250687,139293,188674,128686,190383,193030,123903,147139,543920,128001,175171,217909,119732,263467,165441,128751,188804,207148,226107,139529,183750,103763,116037,221201,148012,150516,110742,198248,168366,108017,115089,171277,156909,173177,142289,89768,253868,116443,149923,138732,165169,106554,85591,256415,96399,149667,161333,134307,140468,108971,166809,195910,141902,132230,209165,180852,103282,189134,214171,235271,99920,131391,302740,166132,164429,103787,217522,154024,105792,157396,113084,195350,124310,189138,146494,169757,107994,105512,179455,109266,172520,162531,105412,150748,203412
3-Indoxyl Sulfate,HMDB00682,N/A,3301403,3114337,5829369,1183232,5576326,165289,3263013,12687853,4257440,2749156,3656005,1033323,7094703,197666,2309245,1286337,6282968,2066834,12738484,8055208,2457566,5214983,557856,20361832,4844075,489811,3085648,3902026,2605737,1443068,11712341,2892455,7713284,11864518,3567074,1481259,313293,2891432,12626463,6607048,3116058,368715,4021458,10690491,11948023,1664696,7310084,9707812,2722630,15578219,3790091,897694,844594,3506912,8620334,4805357,4820536,6746507,486204,357532,3001166,8479645,4932225,2310029,1791156,13277015,1543679,2814909,13358508,9822574,6538482,3331813,294476,8346745,178479,4009498,6118735,1169814,8896959,6294655,1365721,2287097,7611073,6450506,17798178,173765,3690932,3328262,1465020,302677,11205845,10254396,4873037,178907,11792422,12836307,3498188,7602083,1024010,10811542,7560190,891359,15124434,673159,4531867,8665938,2756200,728017,8956942,6048096,1151888,2455377,9178022,1485632,4048421,20758586,6629718,4609245,6982736,7681574,4743910,198281,10162984,9646489,1282048,6327162,764878,1748019,241565,5441298,9256142,2148787,9269404,8877532,3339655,9130332,11000604,1907443,6365511,415161,3900444,3384047,2603257,584201,11052489,7684367,8098455,964020,8774518,8547478,2301693,5133315,1851131,6949198,3391049,566915,1511324,5753665,7745583,580287,501233,3342589,6162058,12573049,6520343,2177079,1049519,1042156,674565,636852,4845933,7147116,6938017,773338,9297125,2190117,1523364,5728082,6523671,253086,14970233,3853902,7218429,8250519,10263123,1060837,2616750,6422901,6414973,5562767,13181617,281127,5747686,13634578,9853407,288447,8121788,11470798,6756802,162944,329146,449063,377866,1054298,2418228,5868868,401504,2644472,12651244,6723928,9694560,3042183,19302818,9380303,9298561,1466048,857497,8801232,5865382,11480028,8047021,8539159,2353733,17303317,4726108,9785012,1902675,11282795,14788777,5533208,4972185,6774035,3671981,14637145,638255,15716355,7380876,7650628,1424349,2927412,18367215,1129631,1316542,12151668,8700390,3414462,7836706,8439566,1638525,581597,4939817,12508616,6773157,438131,4787018,4117366,2956690,119212,4300166,6345617,1223022,530383,11949117,5716660,888804,7014385,3707357,6691593,854842,5074823,6723326,39430950,13420735,3283253,8977005,18134254,3133502,3262016,14696780,1934085,5498602,13467001,4802175,459689,3889904,11317935,19821558,6043606,8958440,874243,10477853,1680661,12078297,5628328,4194132,5339023,404101,12132966,1753018,7861199,2692804,5139914,361660,1271086,23483630,1472665,426198,5275529,7519001,5571905,1281135,9965904,5054545,7198173,989870,5597229,2188487,2070001,265053,3715410
Pantothenate,HMDB00210,C00864,288026,520935,420590,1160060,1256902,970894,840966,453457,359456,890726,674610,244201,268822,939216,326291,396688,267328,499743,397460,526149,346942,353826,1194605,1169471,187172,462471,506103,444914,661714,344463,1107048,712139,330994,665387,962606,740156,341580,402908,434558,468920,211853,195049,496677,551586,533401,322581,367253,765998,386071,311035,108045,318673,621607,237907,381303,319492,378724,787495,199570,402168,175010,1062572,873100,446138,130480,683758,257624,300850,1883726,108067,389132,547832,353456,699720,335124,121522,200717,353555,668868,365297,374414,209239,368621,156523,451572,194951,515779,284553,679069,422510,474833,229906,365222,330708,416419,1425648,571363,739682,993103,305872,714699,173663,179506,568662,480257,393704,1404183,605327,287550,443348,632448,273860,456456,197672,336577,598327,295111,690916,351212,395203,229337,248642,342585,465603,362298,335121,341338,389165,361818,264369,394636,234422,656208,427818,928698,366826,369642,168487,621880,407090,1187369,471150,870438,396547,1053367,518270,731561,237782,437478,550413,175936,495589,432041,562358,1088100,442384,589807,634951,604624,106725,493895,356263,442158,694027,378717,367342,256991,604701,335610,162819,791631,196332,476019,227537,746990,587318,226999,210148,320514,381291,491754,751684,319479,404264,467776,231549,251837,300799,483191,595079,357006,304624,198479,445680,511035,346175,753752,762049,494334,664425,389155,468584,417505,472975,413000,1430842,621930,458081,512916,537883,254209,559826,6230891,658368,361024,350885,205925,1032194,499373,681021,544132,1081401,303380,211413,1255780,556707,606177,192782,497632,213721,610566,238209,521069,699600,449438,482947,284746,461395,354644,280304,373749,357276,660825,480028,348492,445599,1151676,389201,504661,829600,400065,477348,366201,1489921,529995,349977,288504,242001,221363,1053444,256451,518879,589794,480702,246728,446525,799083,1133503,503318,627123,198890,516940,281391,410704,450464,283703,241879,337559,887301,197640,834490,846611,382370,540904,252601,606947,637411,560532,471390,2209471,162891,295582,351805,397779,916067,213588,580303,600749,603461,579653,909489,716816,746777,676950,509286,322864,863969,940581,880939,605290,409778,520680,267977,375227,343266,554503,648297,254216,183800,649014
